3248.88,-154.875,54.125,-136.375,91,88.25,-173,-329,-3,30.5,67,47.5,-164,-132.5,-21.5,-189
129.125,79.125,-2.125,-103.875,-22.75,-43.25,25.75,-35,33.5,-25,-15.5,28.5,13.5,-54,-37.5,21
57.625,90.875,19.625,-16.875,32.75,-12.5,-45,-63.5,-16.5,16.5,-10,34.5,-3,35.5,-1.5,-23.5
162.125,26.125,22.125,-46.625,-54.75,-39.75,-22.5,110.75,39,-49.5,-71.5,-39.5,3.5,3.5,2.5,5.5
75,-1.75,65,-138.5,-45.5,-17.75,107.5,-108,-27.5,4.5,71.5,-4,33,28,8,1
68.75,-31.25,34.5,5,-10.75,84.75,-101.25,-7,0,22.5,-8.5,0,405,-41.5,-43.5,-15.5
37.25,7,-3.5,-41,-63.25,22.5,114.5,82,0,-1.5,2,27.5,-37,17,-20.5,0
81.75,-11.25,3.5,58.25,60.75,44.75,-57.5,-107.75,-4,-27,-67,-57,3,-5,35.5,137.5
3,21.5,0,-15.5,41,122.5,-21.5,-66,3,-23.5,1,15.5,41,-81.5,21.5,-13
48.5,-20,-1.5,17.5,-58.5,35,-37.5,-17,-33.5,28,-3.5,0.5,27.5,37,-51.5,17
70.5,-19.5,4,29.5,-65,34.5,-8.5,18.5,4.5,19.5,-4,3.5,-32,-28.5,31.5,-15.5
1,30.5,-26.5,-25.5,31.5,-5.5,6.5,8.5,9,-4.5,19.5,-25.5,-3.5,11.5,2.5,-10.5
-17.5,4.5,27.5,6,-31,-8,5,7,-20.5,-4.5,16.5,-3,42,-37,-3,47
0,68.5,-15.5,-12,-39.5,39.5,6.5,-14.5,0,5.5,-20.5,0,-1.5,39.5,-10.5,-18.5
0,65.5,-1,23.5,-66,32,-39.5,0,0,-19.5,12,-16.5,-17,-17,-6.5,4
-2,27,-1,-27,2,67,-55.5,117.5,0,27,-12,-18,1,5,34.5,-32.5